"experiment_type","test/acc","test/precision","test/recall","test/f1"
"exclude_iru_aru_oku","0.8392857142857143","0.766137566137566","0.7401098659635246","0.7347083643584016"
"convert_connectives_to_dummy","0.8690476190476191","0.7626524390243903","0.6981037134695671","0.7142699918042383"
"exclude_connectives","0.8154761904761905","0.6608566581849025","0.689323225664689","0.6314903231524143"
"convert_all_words_to_dummy","0.6845238095238095","0.5731884057971015","0.24412217095143923","0.23306748119237514"
"convert_content_words_to_dummy","0.7976190476190477","0.7864942528735632","0.6216282135794331","0.6448342374924654"
"exclude_negation","0.8333333333333334","0.7977337398373984","0.7549879147440123","0.7279809992138759"
"exclude_ha_and_ga","0.8392857142857143","0.7118663594470046","0.6949879147440123","0.691016548463357"
"exclude_particle","0.8154761904761905","0.7909851745576278","0.6331861129422105","0.6871965811965811"
"exclude_content_words","0.7559523809523809","0.5701801479360534","0.40802460997582946","0.39995609054432585"
"exclude_function_words","0.7797619047619048","0.6178249678249679","0.5408569545154911","0.5138015607580825"
"exclude_koso","0.8630952380952381","0.8663189269746645","0.8096220610854757","0.8203659814465167"
"exclude_mo","0.8333333333333334","0.7921663638199071","0.7639573720061524","0.7603406232878068"
"latter-only","0.7916666666666666","0.674121212121212","0.565475719622061","0.5922355833466945"
"former-only","0.8095238095238095","0.7330815544608649","0.7234300153812349","0.6798553345388788"
"normal","0.8452380952380952","0.7726126126126126","0.6726983080641618","0.7053446553446553"